id,candidato,data_ited,conversation_id,referenced_tweet_id
1555729471730290694,Lula,2022-08-07,1555729471730290694,
1555724435944050689,Lula,2022-08-07,1555710900811743233,1555710900811743233
1555710900811743233,Lula,2022-08-07,1555710900811743233,
1556397329728634880,Lula,2022-08-08,1556397329728634880,
1556347802002800640,Lula,2022-08-08,1556347802002800640,
1556277560517935104,Lula,2022-08-08,1556277560517935104,
1556242864350416898,Lula,2022-08-08,1556242864350416898,
1556086232962289665,Lula,2022-08-08,1556086232962289665,
1556791544174313477,Lula,2022-08-09,1556791544174313477,1556780476966240256
1556765976645062657,Lula,2022-08-09,1556765976645062657,
1556740321433862145,Lula,2022-08-09,1556740321433862145,
1556703637958795264,Lula,2022-08-09,1556703637958795264,
1556651983683076108,Lula,2022-08-09,1556651983683076108,
1556589052937310209,Lula,2022-08-09,1556589052937310209,
1557141290596311040,Lula,2022-08-10,1557141290596311040,
1557120132136198154,Lula,2022-08-10,1557120132136198154,
1557075963032240129,Lula,2022-08-10,1557075963032240129,1556263388723937281
1557021893445681152,Lula,2022-08-10,1557021893445681152,
1557015639809789953,Lula,2022-08-10,1557015639809789953,
1557014398765617154,Lula,2022-08-10,1557014398765617154,
1557013411615178752,Lula,2022-08-10,1557013411615178752,
1557012894826614784,Lula,2022-08-10,1557012894826614784,
1557010930277515272,Lula,2022-08-10,1557010930277515272,
1557008981222096899,Lula,2022-08-10,1557008981222096899,
1556999463574577152,Lula,2022-08-10,1556999463574577152,
1556999192865800199,Lula,2022-08-10,1556999192865800199,
1556994715894984704,Lula,2022-08-10,1556994715894984704,
1556955562776084480,Lula,2022-08-10,1556955562776084480,
1556814173505470464,Lula,2022-08-10,1556814173505470464,
1557496078127300608,Lula,2022-08-11,1557496078127300608,
1557443419127021568,Lula,2022-08-11,1557443419127021568,
1557384194581569536,Lula,2022-08-11,1557384194581569536,
1557366259867652098,Lula,2022-08-11,1557366259867652098,
1557318125628055555,Lula,2022-08-11,1557318125628055555,
1557173230149959680,Lula,2022-08-11,1557173230149959680,
1557865954293547009,Lula,2022-08-12,1557865954293547009,
1557839141181833217,Lula,2022-08-12,1557839141181833217,
1557796440524701696,Lula,2022-08-12,1557796440524701696,
1557767167239770112,Lula,2022-08-12,1557767167239770112,
1557727691922542599,Lula,2022-08-12,1557727691922542599,
1557678954424799233,Lula,2022-08-12,1557678954424799233,
1557536954329219073,Lula,2022-08-12,1557536954329219073,
1558224005294850049,Lula,2022-08-13,1558224005294850049,
1558176625522532352,Lula,2022-08-13,1558176625522532352,
1558109673546448898,Lula,2022-08-13,1558109673546448898,
1558080207059402755,Lula,2022-08-13,1558080207059402755,
1558046916935667713,Lula,2022-08-13,1558046916935667713,
1557899319348445184,Lula,2022-08-13,1557899319348445184,
1558600028465373186,Lula,2022-08-14,1558600028465373186,
1558465363083493380,Lula,2022-08-14,1558465363083493380,
1558463627660861440,Lula,2022-08-14,1558463627660861440,
1558461729784438784,Lula,2022-08-14,1558461729784438784,
1558461173208580097,Lula,2022-08-14,1558461173208580097,
1558460621397655553,Lula,2022-08-14,1558460621397655553,
1558460228068335617,Lula,2022-08-14,1558460228068335617,
1558459296492437505,Lula,2022-08-14,1558459296492437505,
1558459134659465216,Lula,2022-08-14,1558459134659465216,
1558457783464235009,Lula,2022-08-14,1558457783464235009,
1558404905903312896,Lula,2022-08-14,1558404905903312896,
