id,topico,topico_rotulo
1559352133455077378,1,"povo, presidente, porque, bolsonaro, gente"
1559356391919423491,0,"brasil, brasildaesperança, povo, país, equipelula"
1559359586360074241,6,"ciro, giro ciro, giro, perca, sp"
1559360566141001730,0,"brasil, brasildaesperança, povo, país, equipelula"
1559360787709403144,0,"brasil, brasildaesperança, povo, país, equipelula"
1559361477009702919,0,"brasil, brasildaesperança, povo, país, equipelula"
1559363691212046339,2,"governo, renda, salário, mínimo, aumento"
1559364639472947200,0,"brasil, brasildaesperança, povo, país, equipelula"
1559367056042205184,1,"povo, presidente, porque, bolsonaro, gente"
1559369310824529921,1,"povo, presidente, porque, bolsonaro, gente"
1559372692230479872,1,"povo, presidente, porque, bolsonaro, gente"
1559374204163743747,6,"ciro, giro ciro, giro, perca, sp"
1559376409323257859,0,"brasil, brasildaesperança, povo, país, equipelula"
1559377178495787016,2,"governo, renda, salário, mínimo, aumento"
1559377468343058432,0,"brasil, brasildaesperança, povo, país, equipelula"
1559377602565050369,0,"brasil, brasildaesperança, povo, país, equipelula"
1559377759083925509,0,"brasil, brasildaesperança, povo, país, equipelula"
1559379986498330629,2,"governo, renda, salário, mínimo, aumento"
1559382206929375233,0,"brasil, brasildaesperança, povo, país, equipelula"
1559480714000842753,0,"brasil, brasildaesperança, povo, país, equipelula"
1559501280967593985,1,"povo, presidente, porque, bolsonaro, gente"
1559509126878748674,1,"povo, presidente, porque, bolsonaro, gente"
1559525390175141888,0,"brasil, brasildaesperança, povo, país, equipelula"
1559556110339776512,1,"povo, presidente, porque, bolsonaro, gente"
1559605965405786112,0,"brasil, brasildaesperança, povo, país, equipelula"
1559633242550050816,0,"brasil, brasildaesperança, povo, país, equipelula"
1559705168949780486,1,"povo, presidente, porque, bolsonaro, gente"
1559861027919085568,4,"broadcasts, lula, broadcasts lula, imprensa, conversa"
1559872804656406528,2,"governo, renda, salário, mínimo, aumento"
1559918066435297281,6,"ciro, giro ciro, giro, perca, sp"
1559961867535130627,3,"cirotv, vivo, cirotv br, br, acompanhe"
1559975507726372864,1,"povo, presidente, porque, bolsonaro, gente"
1559995999090786304,5,"dia, amanhã, bom, povo, obrigado"
1560029456269561856,1,"povo, presidente, porque, bolsonaro, gente"
1560041092933885952,0,"brasil, brasildaesperança, povo, país, equipelula"
1560044543336222724,0,"brasil, brasildaesperança, povo, país, equipelula"
1560046060629803008,1,"povo, presidente, porque, bolsonaro, gente"
1560047537792352261,0,"brasil, brasildaesperança, povo, país, equipelula"
1560056477678817289,8,"bolsonaro, saúde, vacina, pessoas, pandemia"
1560235306493820928,11,"fake, fake news, news, verdade, mentiras"
1560261599512100864,6,"ciro, giro ciro, giro, perca, sp"
1560266936231284736,0,"brasil, brasildaesperança, povo, país, equipelula"
1560271479476199425,0,"brasil, brasildaesperança, povo, país, equipelula"
1560273992304324609,0,"brasil, brasildaesperança, povo, país, equipelula"
1560275145586982912,0,"brasil, brasildaesperança, povo, país, equipelula"
1560280041338146817,0,"brasil, brasildaesperança, povo, país, equipelula"
1560283027372130305,0,"brasil, brasildaesperança, povo, país, equipelula"
1560285158074449925,0,"brasil, brasildaesperança, povo, país, equipelula"
1560290801552343040,0,"brasil, brasildaesperança, povo, país, equipelula"
1560297639383633921,1,"povo, presidente, porque, bolsonaro, gente"
1560307110000427008,6,"ciro, giro ciro, giro, perca, sp"
1560312451870359553,3,"cirotv, vivo, cirotv br, br, acompanhe"
1560327013126266881,0,"brasil, brasildaesperança, povo, país, equipelula"
1560340997632057345,5,"dia, amanhã, bom, povo, obrigado"
1560367944869224450,2,"governo, renda, salário, mínimo, aumento"
1560378203709083649,3,"cirotv, vivo, cirotv br, br, acompanhe"
1560386438398898176,1,"povo, presidente, porque, bolsonaro, gente"
1560395854887936012,1,"povo, presidente, porque, bolsonaro, gente"
1560396434725376002,0,"brasil, brasildaesperança, povo, país, equipelula"
1560439246913257475,5,"dia, amanhã, bom, povo, obrigado"
1560597503652679681,6,"ciro, giro ciro, giro, perca, sp"
1560603136183631872,1,"povo, presidente, porque, bolsonaro, gente"
1560642650830540801,6,"ciro, giro ciro, giro, perca, sp"
1560646191158767618,2,"governo, renda, salário, mínimo, aumento"
1560699246470467588,6,"ciro, giro ciro, giro, perca, sp"
1560745267867095053,3,"cirotv, vivo, cirotv br, br, acompanhe"
1560758510190837760,0,"brasil, brasildaesperança, povo, país, equipelula"
1560759027222679553,7,"educação, brasil, crianças, ensino, melhores"
1560760398483177486,3,"cirotv, vivo, cirotv br, br, acompanhe"
1560760872590577665,1,"povo, presidente, porque, bolsonaro, gente"
1560761684880416768,0,"brasil, brasildaesperança, povo, país, equipelula"
1560763738403356674,0,"brasil, brasildaesperança, povo, país, equipelula"
1560774457811140610,1,"povo, presidente, porque, bolsonaro, gente"
1560783830654631938,1,"povo, presidente, porque, bolsonaro, gente"
1560962967440695296,0,"brasil, brasildaesperança, povo, país, equipelula"
1560969935429550088,5,"dia, amanhã, bom, povo, obrigado"
1560976880546861056,0,"brasil, brasildaesperança, povo, país, equipelula"
1561005916950089728,5,"dia, amanhã, bom, povo, obrigado"
1561007881322958848,6,"ciro, giro ciro, giro, perca, sp"
1561022721668136960,7,"educação, brasil, crianças, ensino, melhores"
1561029681616502786,6,"ciro, giro ciro, giro, perca, sp"
1561061016632426501,5,"dia, amanhã, bom, povo, obrigado"
1561065892125065217,11,"fake, fake news, news, verdade, mentiras"
1561087634717507587,6,"ciro, giro ciro, giro, perca, sp"
1561095925803745280,1,"povo, presidente, porque, bolsonaro, gente"
1561111494061953024,5,"dia, amanhã, bom, povo, obrigado"
1561121517450182657,0,"brasil, brasildaesperança, povo, país, equipelula"
1561324104384479232,9,"educação, escola, universidades, estudantes, ensino"
1561368921210486784,6,"ciro, giro ciro, giro, perca, sp"
1561378032811741191,0,"brasil, brasildaesperança, povo, país, equipelula"
1561380181637578752,0,"brasil, brasildaesperança, povo, país, equipelula"
1561468940508864520,3,"cirotv, vivo, cirotv br, br, acompanhe"
1561488665972543495,0,"brasil, brasildaesperança, povo, país, equipelula"
1561489597988749312,0,"brasil, brasildaesperança, povo, país, equipelula"
1561491803915911170,1,"povo, presidente, porque, bolsonaro, gente"
1561494702301519877,0,"brasil, brasildaesperança, povo, país, equipelula"
1561503696831365129,5,"dia, amanhã, bom, povo, obrigado"
1561706947845537793,6,"ciro, giro ciro, giro, perca, sp"
1561721482165764096,0,"brasil, brasildaesperança, povo, país, equipelula"
1561726055718731784,0,"brasil, brasildaesperança, povo, país, equipelula"
1561730882058309633,0,"brasil, brasildaesperança, povo, país, equipelula"
1561736422305964033,0,"brasil, brasildaesperança, povo, país, equipelula"
1561776317267427333,1,"povo, presidente, porque, bolsonaro, gente"
1561822078638211076,3,"cirotv, vivo, cirotv br, br, acompanhe"
1561835627565518851,0,"brasil, brasildaesperança, povo, país, equipelula"
1562188256678068224,3,"cirotv, vivo, cirotv br, br, acompanhe"
1562217459373031424,0,"brasil, brasildaesperança, povo, país, equipelula"
1562226159680643072,0,"brasil, brasildaesperança, povo, país, equipelula"
1562226413532495872,0,"brasil, brasildaesperança, povo, país, equipelula"
1562227490495537152,0,"brasil, brasildaesperança, povo, país, equipelula"
1562227977793859584,2,"governo, renda, salário, mínimo, aumento"
1562228733972553728,0,"brasil, brasildaesperança, povo, país, equipelula"
1562229007646703617,0,"brasil, brasildaesperança, povo, país, equipelula"
1562229176962371584,0,"brasil, brasildaesperança, povo, país, equipelula"
1562229270071721985,0,"brasil, brasildaesperança, povo, país, equipelula"
1562233896775069697,0,"brasil, brasildaesperança, povo, país, equipelula"
1562234206297927680,1,"povo, presidente, porque, bolsonaro, gente"
1562237140318175232,0,"brasil, brasildaesperança, povo, país, equipelula"
1562237248619397121,1,"povo, presidente, porque, bolsonaro, gente"
1562239422611038208,0,"brasil, brasildaesperança, povo, país, equipelula"
1562239827327713280,1,"povo, presidente, porque, bolsonaro, gente"
1562240309391761409,0,"brasil, brasildaesperança, povo, país, equipelula"
1562241270038548480,10,"indígenas, povos, precisamos, desenvolvimento, ilegal"
1562241890413875207,0,"brasil, brasildaesperança, povo, país, equipelula"
1562242335798448128,10,"indígenas, povos, precisamos, desenvolvimento, ilegal"
1562243702332231686,7,"educação, brasil, crianças, ensino, melhores"
1562245895839940608,1,"povo, presidente, porque, bolsonaro, gente"
1562246028442701825,0,"brasil, brasildaesperança, povo, país, equipelula"
